company,top_topic,P_0,RD_0,P_1,RD_1,P_2,RD_2,P_3,RD_3,P_4,RD_4,P_5,RD_5,P_6,RD_6,year
平安银行,1,0.000019 ,0.000019 ,0.999902 ,2.325150 ,0.000013 ,0.000013 ,0.000016 ,0.000016 ,0.000017 ,0.000017 ,0.000017 ,0.000017 ,0.000017 ,0.000017 ,2024
万科A,4,0.000037 ,0.000037 ,0.321415 ,0.327681 ,0.000026 ,0.000026 ,0.000032 ,0.000032 ,0.678423 ,0.758242 ,0.000034 ,0.000034 ,0.000033 ,0.000033 ,2024
深物业A,3,0.000147 ,0.000147 ,0.161535 ,0.162274 ,0.000104 ,0.000104 ,0.735453 ,0.845755 ,0.102494 ,0.102678 ,0.000135 ,0.000135 ,0.000132 ,0.000132 ,2024
沙河股份,2,0.039118 ,0.039128 ,0.000480 ,0.000480 ,0.516938 ,0.546740 ,0.000743 ,0.000744 ,0.000770 ,0.000770 ,0.000798 ,0.000798 ,0.441153 ,0.458613 ,2024
特  力Ａ,6,0.220847 ,0.222782 ,0.111458 ,0.111697 ,0.000123 ,0.000123 ,0.000149 ,0.000149 ,0.000154 ,0.000155 ,0.000160 ,0.000160 ,0.667108 ,0.741907 ,2024
飞亚达,6,0.000343 ,0.000343 ,0.000190 ,0.000190 ,0.000242 ,0.000242 ,0.000294 ,0.000294 ,0.458537 ,0.478394 ,0.000316 ,0.000316 ,0.540077 ,0.574755 ,2024
深深房Ａ,4,0.000230 ,0.000230 ,0.071831 ,0.071894 ,0.210098 ,0.211757 ,0.000197 ,0.000197 ,0.473141 ,0.495198 ,0.244295 ,0.246942 ,0.000207 ,0.000207 ,2024
神州数码,4,0.461852 ,0.482193 ,0.000061 ,0.000061 ,0.000077 ,0.000077 ,0.000094 ,0.000094 ,0.537716 ,0.571870 ,0.000101 ,0.000101 ,0.000099 ,0.000099 ,2024
中集集团,6,0.072771 ,0.072837 ,0.000026 ,0.000026 ,0.000033 ,0.000033 ,0.000040 ,0.000040 ,0.000042 ,0.000042 ,0.216952 ,0.218784 ,0.710134 ,0.805734 ,2024
深纺织Ａ,3,0.000098 ,0.000098 ,0.000054 ,0.000054 ,0.000069 ,0.000069 ,0.532899 ,0.566002 ,0.223594 ,0.225605 ,0.243197 ,0.245806 ,0.000088 ,0.000088 ,2024
京基智农,0,0.556055 ,0.594461 ,0.000049 ,0.000049 ,0.000063 ,0.000063 ,0.000076 ,0.000076 ,0.443595 ,0.461378 ,0.000082 ,0.000082 ,0.000080 ,0.000080 ,2024
深天马Ａ,5,0.000181 ,0.000181 ,0.000100 ,0.000100 ,0.000127 ,0.000127 ,0.000155 ,0.000155 ,0.227151 ,0.229262 ,0.772123 ,0.907834 ,0.000163 ,0.000163 ,2024
深 赛 格,4,0.000167 ,0.000167 ,0.000093 ,0.000093 ,0.357702 ,0.366518 ,0.186200 ,0.187342 ,0.455534 ,0.474959 ,0.000154 ,0.000154 ,0.000151 ,0.000151 ,2024
深圳华强,4,0.335475 ,0.342655 ,0.000033 ,0.000033 ,0.000042 ,0.000041 ,0.000050 ,0.000050 ,0.664293 ,0.737890 ,0.000054 ,0.000054 ,0.000053 ,0.000053 ,2024
中兴通讯,4,0.318773 ,0.324877 ,0.252126 ,0.255046 ,0.000034 ,0.000034 ,0.000042 ,0.000042 ,0.428936 ,0.444849 ,0.000045 ,0.000045 ,0.000044 ,0.000044 ,2024
北方国际,2,0.396469 ,0.408764 ,0.000039 ,0.000039 ,0.490431 ,0.515329 ,0.000060 ,0.000060 ,0.112873 ,0.113121 ,0.000065 ,0.000065 ,0.000063 ,0.000063 ,2024
华控赛格,4,0.000063 ,0.000063 ,0.000035 ,0.000035 ,0.000045 ,0.000045 ,0.000054 ,0.000054 ,0.999686 ,2.204692 ,0.000058 ,0.000058 ,0.000057 ,0.000057 ,2024
华侨城Ａ,4,0.000211 ,0.000211 ,0.111358 ,0.111596 ,0.000149 ,0.000149 ,0.000181 ,0.000181 ,0.887718 ,1.158999 ,0.000194 ,0.000194 ,0.000190 ,0.000190 ,2024
华数传媒,4,0.000383 ,0.000383 ,0.123381 ,0.123706 ,0.000270 ,0.000270 ,0.000329 ,0.000329 ,0.874938 ,1.124588 ,0.000353 ,0.000353 ,0.000346 ,0.000346 ,2024
中联重科,6,0.000055 ,0.000055 ,0.000030 ,0.000030 ,0.000039 ,0.000039 ,0.000047 ,0.000047 ,0.000049 ,0.000049 ,0.000051 ,0.000051 ,0.999729 ,2.220769 ,2024
国际实业,5,0.000263 ,0.000263 ,0.042525 ,0.042538 ,0.000185 ,0.000185 ,0.177076 ,0.178055 ,0.000233 ,0.000233 ,0.516269 ,0.545938 ,0.263449 ,0.266798 ,2024
申万宏源,1,0.002293 ,0.002292 ,0.633568 ,0.695116 ,0.001617 ,0.001617 ,0.001967 ,0.001967 ,0.002036 ,0.002036 ,0.002111 ,0.002112 ,0.356408 ,0.365122 ,2024
美的集团,6,0.063166 ,0.063209 ,0.000021 ,0.000021 ,0.000026 ,0.000026 ,0.000032 ,0.000032 ,0.000033 ,0.000033 ,0.000034 ,0.000034 ,0.936689 ,1.324337 ,2024
潍柴动力,4,0.000052 ,0.000052 ,0.000029 ,0.000029 ,0.000037 ,0.000037 ,0.000045 ,0.000045 ,0.980208 ,1.593812 ,0.000048 ,0.000048 ,0.019582 ,0.019584 ,2024
冀东水泥,3,0.000092 ,0.000092 ,0.000051 ,0.000051 ,0.000065 ,0.000065 ,0.999544 ,2.162421 ,0.000082 ,0.000082 ,0.000085 ,0.000085 ,0.000083 ,0.000083 ,2024
胜利股份,4,0.000279 ,0.000280 ,0.000155 ,0.000155 ,0.159513 ,0.160223 ,0.000240 ,0.000240 ,0.549328 ,0.586128 ,0.290233 ,0.294771 ,0.000252 ,0.000252 ,2024
东阿阿胶,4,0.000448 ,0.000448 ,0.000248 ,0.000248 ,0.434441 ,0.451038 ,0.000384 ,0.000384 ,0.563661 ,0.603953 ,0.000413 ,0.000413 ,0.000404 ,0.000404 ,2024
粤高速Ａ,3,0.000133 ,0.000133 ,0.000074 ,0.000074 ,0.000094 ,0.000094 ,0.999340 ,2.119022 ,0.000118 ,0.000118 ,0.000122 ,0.000122 ,0.000120 ,0.000120 ,2024
ST晨鸣,5,0.000064 ,0.000064 ,0.000035 ,0.000035 ,0.000045 ,0.000045 ,0.000055 ,0.000055 ,0.000057 ,0.000057 ,0.999686 ,2.204671 ,0.000058 ,0.000058 ,2024
武商集团,2,0.000264 ,0.000264 ,0.170424 ,0.171294 ,0.828372 ,1.016109 ,0.000226 ,0.000226 ,0.000234 ,0.000234 ,0.000243 ,0.000243 ,0.000238 ,0.000238 ,2024
京粮控股,0,0.999612 ,2.180988 ,0.000044 ,0.000044 ,0.000057 ,0.000057 ,0.000069 ,0.000069 ,0.000071 ,0.000071 ,0.000074 ,0.000074 ,0.000072 ,0.000072 ,2024
丽珠集团,0,0.999554 ,2.165139 ,0.000051 ,0.000051 ,0.000065 ,0.000065 ,0.000079 ,0.000079 ,0.000082 ,0.000082 ,0.000085 ,0.000085 ,0.000083 ,0.000083 ,2024
红棉股份,0,0.999391 ,2.128605 ,0.000070 ,0.000070 ,0.000089 ,0.000089 ,0.000108 ,0.000108 ,0.000112 ,0.000112 ,0.000116 ,0.000116 ,0.000114 ,0.000114 ,2024
岭南控股,0,0.999369 ,2.124501 ,0.000072 ,0.000072 ,0.000092 ,0.000092 ,0.000112 ,0.000112 ,0.000116 ,0.000116 ,0.000120 ,0.000120 ,0.000118 ,0.000118 ,2024
柳    工,6,0.000041 ,0.000041 ,0.000023 ,0.000023 ,0.000029 ,0.000029 ,0.000035 ,0.000035 ,0.000037 ,0.000037 ,0.000038 ,0.000038 ,0.999796 ,2.251126 ,2024
华金资本,1,0.000096 ,0.000096 ,0.335183 ,0.342344 ,0.000068 ,0.000068 ,0.334260 ,0.341357 ,0.000085 ,0.000085 ,0.128158 ,0.128522 ,0.202149 ,0.203621 ,2024
万泽股份,2,0.000284 ,0.000284 ,0.000157 ,0.000157 ,0.711179 ,0.807346 ,0.000243 ,0.000243 ,0.000252 ,0.000252 ,0.287629 ,0.292040 ,0.000256 ,0.000256 ,2024
云南白药,5,0.000180 ,0.000180 ,0.150101 ,0.150692 ,0.000127 ,0.000127 ,0.000154 ,0.000155 ,0.043053 ,0.043066 ,0.806222 ,0.971174 ,0.000162 ,0.000162 ,2024
粤电力Ａ,3,0.000111 ,0.000111 ,0.000062 ,0.000062 ,0.054934 ,0.054962 ,0.944593 ,1.359191 ,0.000099 ,0.000099 ,0.000102 ,0.000102 ,0.000100 ,0.000100 ,2024
中原环保,5,0.000107 ,0.000107 ,0.000060 ,0.000060 ,0.000076 ,0.000076 ,0.000092 ,0.000092 ,0.000095 ,0.000095 ,0.999473 ,2.145662 ,0.000097 ,0.000097 ,2024
江铃汽车,0,0.998801 ,2.044664 ,0.000138 ,0.000138 ,0.000175 ,0.000175 ,0.000213 ,0.000213 ,0.000220 ,0.000221 ,0.000229 ,0.000229 ,0.000224 ,0.000224 ,2024
安道麦A,4,0.125111 ,0.125450 ,0.018567 ,0.018569 ,0.000024 ,0.000024 ,0.000029 ,0.000029 ,0.856209 ,1.078204 ,0.000031 ,0.000031 ,0.000030 ,0.000030 ,2024
神州信息,6,0.000117 ,0.000117 ,0.335346 ,0.342517 ,0.000083 ,0.000083 ,0.000101 ,0.000101 ,0.192804 ,0.194076 ,0.112088 ,0.112330 ,0.359461 ,0.368418 ,2024
陕国投Ａ,1,0.188790 ,0.189982 ,0.694763 ,0.782379 ,0.115464 ,0.115729 ,0.000236 ,0.000236 ,0.000245 ,0.000245 ,0.000254 ,0.000254 ,0.000248 ,0.000248 ,2024
汇源通信,4,0.000226 ,0.000226 ,0.000125 ,0.000125 ,0.255127 ,0.258156 ,0.281912 ,0.286053 ,0.462198 ,0.482589 ,0.000208 ,0.000208 ,0.000204 ,0.000204 ,2024
启迪药业,5,0.000205 ,0.000205 ,0.000114 ,0.000114 ,0.060960 ,0.060998 ,0.000176 ,0.000176 ,0.000182 ,0.000182 ,0.938178 ,1.330647 ,0.000185 ,0.000185 ,2024
青岛双星,0,0.999510 ,2.154126 ,0.000056 ,0.000056 ,0.000072 ,0.000072 ,0.000087 ,0.000087 ,0.000090 ,0.000090 ,0.000094 ,0.000094 ,0.000092 ,0.000092 ,2024
焦作万方,2,0.187701 ,0.188872 ,0.000042 ,0.000042 ,0.811987 ,0.982544 ,0.000065 ,0.000065 ,0.000067 ,0.000067 ,0.000070 ,0.000070 ,0.000068 ,0.000068 ,2024
海螺新材,3,0.000071 ,0.000071 ,0.000039 ,0.000039 ,0.000050 ,0.000050 ,0.999648 ,2.191723 ,0.000063 ,0.000063 ,0.000065 ,0.000065 ,0.000064 ,0.000064 ,2024
钒钛股份,3,0.354337 ,0.362890 ,0.000126 ,0.000126 ,0.000161 ,0.000161 ,0.644757 ,0.710473 ,0.000203 ,0.000203 ,0.000210 ,0.000210 ,0.000206 ,0.000206 ,2024
金岭矿业,3,0.000118 ,0.000118 ,0.081295 ,0.081386 ,0.000083 ,0.000083 ,0.918185 ,1.253704 ,0.000105 ,0.000105 ,0.000108 ,0.000108 ,0.000106 ,0.000106 ,2024
永安林业,5,0.000172 ,0.000172 ,0.000095 ,0.000095 ,0.064728 ,0.064774 ,0.000147 ,0.000147 ,0.000153 ,0.000153 ,0.934550 ,1.315462 ,0.000155 ,0.000155 ,2024
国城矿业,2,0.000187 ,0.000187 ,0.000103 ,0.000103 ,0.687106 ,0.770983 ,0.312098 ,0.317806 ,0.000166 ,0.000166 ,0.000172 ,0.000172 ,0.000168 ,0.000168 ,2024
中信特钢,3,0.000077 ,0.000077 ,0.000043 ,0.000043 ,0.000054 ,0.000054 ,0.563986 ,0.604361 ,0.000068 ,0.000068 ,0.397923 ,0.410366 ,0.037848 ,0.037857 ,2024
丰乐种业,5,0.000092 ,0.000092 ,0.000051 ,0.000051 ,0.000065 ,0.000065 ,0.000079 ,0.000079 ,0.000082 ,0.000082 ,0.999547 ,2.163280 ,0.000083 ,0.000083 ,2024
中兴商业,0,0.520866 ,0.551454 ,0.043387 ,0.043400 ,0.148026 ,0.148592 ,0.000298 ,0.000298 ,0.000309 ,0.000309 ,0.286801 ,0.291172 ,0.000314 ,0.000314 ,2024
航发控制,2,0.000383 ,0.000383 ,0.083114 ,0.083212 ,0.915135 ,1.243203 ,0.000329 ,0.000329 ,0.000340 ,0.000340 ,0.000353 ,0.000353 ,0.000346 ,0.000346 ,2024
普洛药业,4,0.000152 ,0.000152 ,0.000084 ,0.000084 ,0.000107 ,0.000107 ,0.141707 ,0.142202 ,0.857672 ,1.081677 ,0.000140 ,0.000140 ,0.000137 ,0.000137 ,2024
国海证券,1,0.000039 ,0.000039 ,0.999795 ,2.250696 ,0.000027 ,0.000027 ,0.000033 ,0.000033 ,0.000034 ,0.000034 ,0.000036 ,0.000036 ,0.000035 ,0.000035 ,2024
新华制药,2,0.000163 ,0.000163 ,0.192761 ,0.194032 ,0.647556 ,0.714352 ,0.000140 ,0.000140 ,0.000145 ,0.000145 ,0.159088 ,0.159794 ,0.000147 ,0.000147 ,2024
中航西飞,6,0.000269 ,0.000269 ,0.000149 ,0.000149 ,0.000190 ,0.000190 ,0.000231 ,0.000231 ,0.188499 ,0.189685 ,0.000248 ,0.000248 ,0.810416 ,0.979425 ,2024
广发证券,1,0.000039 ,0.000039 ,0.999794 ,2.249962 ,0.000028 ,0.000028 ,0.000034 ,0.000033 ,0.000035 ,0.000035 ,0.000036 ,0.000036 ,0.000035 ,0.000035 ,2024
恒申新材,3,0.170222 ,0.171090 ,0.000060 ,0.000060 ,0.000077 ,0.000077 ,0.359510 ,0.368471 ,0.000097 ,0.000097 ,0.189723 ,0.190934 ,0.280311 ,0.284379 ,2024
北新建材,6,0.000132 ,0.000132 ,0.000073 ,0.000073 ,0.000093 ,0.000093 ,0.334112 ,0.341200 ,0.000117 ,0.000117 ,0.000121 ,0.000121 ,0.665351 ,0.739398 ,2024
甘肃能源,2,0.000103 ,0.000103 ,0.000057 ,0.000057 ,0.544064 ,0.579644 ,0.354408 ,0.362966 ,0.000092 ,0.000092 ,0.101182 ,0.101359 ,0.000093 ,0.000093 ,2024
盐湖股份,3,0.000100 ,0.000100 ,0.000055 ,0.000055 ,0.000070 ,0.000070 ,0.999503 ,2.152654 ,0.000089 ,0.000089 ,0.000092 ,0.000092 ,0.000090 ,0.000090 ,2024
英洛华,4,0.000229 ,0.000229 ,0.000127 ,0.000127 ,0.000161 ,0.000161 ,0.000196 ,0.000196 ,0.536414 ,0.570280 ,0.353178 ,0.361641 ,0.109695 ,0.109922 ,2024
一汽解放,4,0.000089 ,0.000089 ,0.000049 ,0.000049 ,0.000063 ,0.000063 ,0.073915 ,0.073983 ,0.757040 ,0.881640 ,0.072208 ,0.072272 ,0.096637 ,0.096792 ,2024
四川九洲,4,0.000216 ,0.000216 ,0.000119 ,0.000119 ,0.000152 ,0.000152 ,0.000185 ,0.000185 ,0.507640 ,0.535642 ,0.000199 ,0.000199 ,0.491489 ,0.516570 ,2024
云铝股份,2,0.000068 ,0.000068 ,0.000038 ,0.000038 ,0.931420 ,1.302845 ,0.068290 ,0.068344 ,0.000060 ,0.000060 ,0.000063 ,0.000063 ,0.000061 ,0.000061 ,2024
创维数字,6,0.368686 ,0.378404 ,0.000027 ,0.000027 ,0.000035 ,0.000035 ,0.000042 ,0.000042 ,0.080659 ,0.080748 ,0.000045 ,0.000045 ,0.550506 ,0.587583 ,2024
美利云,0,0.547803 ,0.584245 ,0.000248 ,0.000248 ,0.000316 ,0.000316 ,0.450418 ,0.469127 ,0.000398 ,0.000398 ,0.000413 ,0.000413 ,0.000404 ,0.000404 ,2024
智慧农业,6,0.000145 ,0.000145 ,0.000081 ,0.000081 ,0.000102 ,0.000102 ,0.448533 ,0.466982 ,0.000129 ,0.000129 ,0.000134 ,0.000134 ,0.550876 ,0.588040 ,2024
岳阳兴长,5,0.000034 ,0.000034 ,0.000019 ,0.000019 ,0.000024 ,0.000024 ,0.414293 ,0.428489 ,0.000030 ,0.000031 ,0.585568 ,0.631722 ,0.000031 ,0.000031 ,2024
山东海化,0,0.717306 ,0.816863 ,0.000059 ,0.000059 ,0.000074 ,0.000075 ,0.282275 ,0.286433 ,0.000094 ,0.000094 ,0.000097 ,0.000097 ,0.000095 ,0.000095 ,2024
超声电子,6,0.086056 ,0.086165 ,0.000060 ,0.000060 ,0.000076 ,0.000076 ,0.000093 ,0.000093 ,0.199274 ,0.200682 ,0.354815 ,0.363404 ,0.359626 ,0.368596 ,2024
粤桂股份,3,0.110006 ,0.110235 ,0.000074 ,0.000074 ,0.000094 ,0.000094 ,0.889466 ,1.163909 ,0.000118 ,0.000118 ,0.000123 ,0.000123 ,0.000120 ,0.000120 ,2024
冀东装备,6,0.000101 ,0.000101 ,0.000056 ,0.000056 ,0.124205 ,0.124536 ,0.272232 ,0.275944 ,0.000090 ,0.000090 ,0.000093 ,0.000093 ,0.603223 ,0.654604 ,2024
国风新材,5,0.000150 ,0.000150 ,0.000083 ,0.000083 ,0.000106 ,0.000106 ,0.000129 ,0.000129 ,0.000134 ,0.000134 ,0.999262 ,2.105540 ,0.000136 ,0.000136 ,2024
银星能源,2,0.000288 ,0.000288 ,0.000160 ,0.000160 ,0.568660 ,0.610232 ,0.000247 ,0.000247 ,0.000256 ,0.000256 ,0.430129 ,0.446189 ,0.000260 ,0.000260 ,2024
安凯客车,5,0.000150 ,0.000150 ,0.000083 ,0.000083 ,0.000106 ,0.000106 ,0.000129 ,0.000129 ,0.000134 ,0.000134 ,0.999262 ,2.105559 ,0.000136 ,0.000136 ,2024
天山股份,3,0.292708 ,0.297369 ,0.000029 ,0.000030 ,0.000038 ,0.000038 ,0.486410 ,0.510624 ,0.000047 ,0.000047 ,0.000049 ,0.000049 ,0.220719 ,0.222650 ,2024
云南铜业,0,0.672645 ,0.749863 ,0.000038 ,0.000038 ,0.327075 ,0.333698 ,0.000058 ,0.000058 ,0.000060 ,0.000060 ,0.000063 ,0.000063 ,0.000061 ,0.000061 ,2024
潍柴重机,6,0.000262 ,0.000262 ,0.058241 ,0.058275 ,0.221517 ,0.223471 ,0.192077 ,0.193335 ,0.213554 ,0.215298 ,0.000242 ,0.000242 ,0.314107 ,0.319932 ,2024
双汇发展,2,0.348054 ,0.356131 ,0.000042 ,0.000042 ,0.651632 ,0.720031 ,0.000065 ,0.000065 ,0.000067 ,0.000067 ,0.000070 ,0.000070 ,0.000069 ,0.000068 ,2024
鞍钢股份,3,0.324281 ,0.330726 ,0.077131 ,0.077209 ,0.000062 ,0.000062 ,0.424634 ,0.440028 ,0.173731 ,0.174655 ,0.000081 ,0.000081 ,0.000079 ,0.000079 ,2024
航天科技,5,0.325992 ,0.332545 ,0.000041 ,0.000041 ,0.000052 ,0.000052 ,0.000064 ,0.000064 ,0.164623 ,0.165406 ,0.427732 ,0.443498 ,0.081497 ,0.081589 ,2024
厦门港务,0,0.963227 ,1.459313 ,0.000013 ,0.000013 ,0.000017 ,0.000017 ,0.000020 ,0.000020 ,0.000021 ,0.000021 ,0.000022 ,0.000022 ,0.036679 ,0.036688 ,2024
大亚圣象,5,0.000098 ,0.000098 ,0.000054 ,0.000054 ,0.000069 ,0.000069 ,0.000084 ,0.000084 ,0.000087 ,0.000087 ,0.999520 ,2.156574 ,0.000088 ,0.000088 ,2024
华特达因,4,0.228200 ,0.230342 ,0.000188 ,0.000188 ,0.000239 ,0.000239 ,0.000291 ,0.000291 ,0.770464 ,0.904904 ,0.000312 ,0.000312 ,0.000306 ,0.000306 ,2024
金陵药业,2,0.000112 ,0.000112 ,0.000062 ,0.000062 ,0.999427 ,2.135986 ,0.000096 ,0.000096 ,0.000099 ,0.000099 ,0.000103 ,0.000103 ,0.000101 ,0.000101 ,2024
沃顿科技,3,0.000069 ,0.000069 ,0.000038 ,0.000038 ,0.000049 ,0.000049 ,0.512633 ,0.541590 ,0.487085 ,0.511412 ,0.000064 ,0.000064 ,0.000062 ,0.000062 ,2024
海信家电,6,0.000142 ,0.000142 ,0.000079 ,0.000079 ,0.000100 ,0.000100 ,0.000122 ,0.000122 ,0.000126 ,0.000126 ,0.000131 ,0.000131 ,0.999299 ,2.111766 ,2024
佳电股份,2,0.000098 ,0.000098 ,0.000054 ,0.000054 ,0.999498 ,2.151391 ,0.000084 ,0.000084 ,0.000087 ,0.000087 ,0.000090 ,0.000090 ,0.000088 ,0.000088 ,2024
中国铁物,6,0.000027 ,0.000027 ,0.059625 ,0.059661 ,0.000019 ,0.000019 ,0.011205 ,0.011205 ,0.000024 ,0.000024 ,0.000025 ,0.000025 ,0.929075 ,1.293668 ,2024
华菱钢铁,0,0.480524 ,0.503761 ,0.000043 ,0.000043 ,0.000055 ,0.000055 ,0.397768 ,0.410195 ,0.000069 ,0.000069 ,0.000071 ,0.000071 ,0.121470 ,0.121780 ,2024
