company,top_topic,P_0,RD_0,P_1,RD_1,P_2,RD_2,P_3,RD_3,P_4,RD_4,P_5,RD_5,P_6,RD_6,year
久立特材,0,0.931081 ,1.301505 ,0.000056 ,0.000056 ,0.000071 ,0.000071 ,0.068519 ,0.068573 ,0.000090 ,0.000090 ,0.000093 ,0.000093 ,0.000091 ,0.000091 ,2024
海峡股份,0,0.854188 ,1.073443 ,0.000068 ,0.000068 ,0.000087 ,0.000087 ,0.000106 ,0.000106 ,0.000109 ,0.000109 ,0.000113 ,0.000113 ,0.145329 ,0.145863 ,2024
漫步者,6,0.000240 ,0.000240 ,0.000133 ,0.000133 ,0.000169 ,0.000169 ,0.357293 ,0.366078 ,0.000213 ,0.000213 ,0.000221 ,0.000221 ,0.641731 ,0.706296 ,2024
顺丰控股,6,0.002048 ,0.002049 ,0.036112 ,0.036120 ,0.000014 ,0.000014 ,0.000017 ,0.000017 ,0.000018 ,0.000018 ,0.000019 ,0.000019 ,0.961771 ,1.450247 ,2024
汉王科技,4,0.000103 ,0.000103 ,0.053877 ,0.053904 ,0.000073 ,0.000073 ,0.000089 ,0.000089 ,0.402717 ,0.415656 ,0.301309 ,0.306416 ,0.241832 ,0.244396 ,2024
康力电梯,6,0.000099 ,0.000099 ,0.073739 ,0.073807 ,0.000070 ,0.000070 ,0.000085 ,0.000085 ,0.000088 ,0.000088 ,0.000092 ,0.000092 ,0.925827 ,1.281310 ,2024
宏创控股,0,0.844557 ,1.051337 ,0.000036 ,0.000036 ,0.000046 ,0.000046 ,0.000056 ,0.000056 ,0.000058 ,0.000058 ,0.000060 ,0.000060 ,0.155188 ,0.155842 ,2024
维信诺,4,0.000180 ,0.000180 ,0.000100 ,0.000100 ,0.000127 ,0.000127 ,0.000154 ,0.000155 ,0.715665 ,0.814303 ,0.283612 ,0.287832 ,0.000162 ,0.000162 ,2024
航天彩虹,6,0.000084 ,0.000084 ,0.000047 ,0.000047 ,0.000059 ,0.000059 ,0.000072 ,0.000072 ,0.000075 ,0.000075 ,0.252668 ,0.255608 ,0.746994 ,0.864721 ,2024
力生制药,5,0.000177 ,0.000177 ,0.000098 ,0.000098 ,0.000125 ,0.000125 ,0.000152 ,0.000152 ,0.000157 ,0.000157 ,0.999130 ,2.085363 ,0.000160 ,0.000160 ,2024
海普瑞,0,0.999656 ,2.194377 ,0.000039 ,0.000039 ,0.000050 ,0.000050 ,0.000061 ,0.000061 ,0.000063 ,0.000063 ,0.000066 ,0.000066 ,0.000064 ,0.000064 ,2024
省广集团,4,0.000406 ,0.000406 ,0.000225 ,0.000225 ,0.000286 ,0.000286 ,0.000348 ,0.000348 ,0.997997 ,1.975870 ,0.000373 ,0.000374 ,0.000366 ,0.000366 ,2024
中远海科,6,0.020710 ,0.020711 ,0.237540 ,0.239965 ,0.000035 ,0.000035 ,0.000042 ,0.000042 ,0.275948 ,0.279820 ,0.000045 ,0.000045 ,0.465680 ,0.486590 ,2024
嘉欣丝绸,6,0.263121 ,0.266457 ,0.000038 ,0.000038 ,0.000048 ,0.000048 ,0.000059 ,0.000059 ,0.000061 ,0.000061 ,0.300995 ,0.306084 ,0.435679 ,0.452433 ,2024
广联达,6,0.000107 ,0.000107 ,0.000059 ,0.000059 ,0.000075 ,0.000075 ,0.000092 ,0.000092 ,0.000095 ,0.000095 ,0.000098 ,0.000098 ,0.999474 ,2.145900 ,2024
天虹股份,2,0.000180 ,0.000180 ,0.000100 ,0.000100 ,0.507144 ,0.535053 ,0.000154 ,0.000155 ,0.000160 ,0.000160 ,0.000166 ,0.000166 ,0.492096 ,0.517283 ,2024
毅昌科技,5,0.110454 ,0.110687 ,0.000179 ,0.000179 ,0.000228 ,0.000228 ,0.000277 ,0.000277 ,0.000287 ,0.000287 ,0.856704 ,1.079377 ,0.031870 ,0.031876 ,2024
云南锗业,2,0.000062 ,0.000062 ,0.000034 ,0.000034 ,0.999683 ,2.203648 ,0.000053 ,0.000053 ,0.000055 ,0.000055 ,0.000057 ,0.000057 ,0.000056 ,0.000056 ,2024
杭氧股份,2,0.000101 ,0.000101 ,0.000056 ,0.000056 ,0.797337 ,0.954053 ,0.000087 ,0.000087 ,0.000090 ,0.000090 ,0.000093 ,0.000093 ,0.202235 ,0.203709 ,2024
摩恩电气,3,0.210047 ,0.211703 ,0.000065 ,0.000065 ,0.219122 ,0.221011 ,0.570450 ,0.612488 ,0.000104 ,0.000104 ,0.000107 ,0.000107 ,0.000105 ,0.000105 ,2024
百川股份,3,0.000073 ,0.000073 ,0.000040 ,0.000040 ,0.000051 ,0.000051 ,0.999639 ,2.189142 ,0.000064 ,0.000064 ,0.000067 ,0.000067 ,0.000065 ,0.000065 ,2024
益生股份,0,0.591977 ,0.639974 ,0.000078 ,0.000078 ,0.000099 ,0.000099 ,0.287637 ,0.292049 ,0.000125 ,0.000125 ,0.099334 ,0.099501 ,0.020751 ,0.020752 ,2024
珠江啤酒,5,0.265262 ,0.268684 ,0.000160 ,0.000160 ,0.000204 ,0.000204 ,0.000249 ,0.000249 ,0.000257 ,0.000257 ,0.445308 ,0.463321 ,0.288559 ,0.293014 ,2024
沪电股份,4,0.024569 ,0.024572 ,0.000030 ,0.000030 ,0.000038 ,0.000038 ,0.000046 ,0.000046 ,0.975218 ,1.547058 ,0.000050 ,0.000050 ,0.000049 ,0.000049 ,2024
海格通信,2,0.000415 ,0.000415 ,0.000230 ,0.000230 ,0.555250 ,0.593461 ,0.000356 ,0.000356 ,0.000368 ,0.000368 ,0.000382 ,0.000382 ,0.442999 ,0.460704 ,2024
天齐锂业,0,0.469915 ,0.491470 ,0.000013 ,0.000013 ,0.000016 ,0.000016 ,0.227886 ,0.230018 ,0.302129 ,0.307280 ,0.000021 ,0.000021 ,0.000021 ,0.000021 ,2024
二六三,4,0.000084 ,0.000084 ,0.000047 ,0.000047 ,0.000059 ,0.000059 ,0.000072 ,0.000072 ,0.999583 ,2.172852 ,0.000078 ,0.000078 ,0.000076 ,0.000076 ,2024
三维化学,3,0.000045 ,0.000045 ,0.000025 ,0.000025 ,0.000032 ,0.000032 ,0.999774 ,2.240137 ,0.000040 ,0.000040 ,0.000042 ,0.000042 ,0.000041 ,0.000041 ,2024
常宝股份,0,0.411284 ,0.425145 ,0.000059 ,0.000059 ,0.003610 ,0.003609 ,0.118749 ,0.119038 ,0.000095 ,0.000095 ,0.109247 ,0.109472 ,0.356956 ,0.365713 ,2024
ST墨龙,3,0.000152 ,0.000152 ,0.045558 ,0.045574 ,0.000107 ,0.000107 ,0.435863 ,0.452639 ,0.233528 ,0.235828 ,0.150739 ,0.151337 ,0.134054 ,0.134471 ,2024
涪陵榨菜,0,0.634235 ,0.696025 ,0.000057 ,0.000057 ,0.186545 ,0.187695 ,0.129385 ,0.129761 ,0.000092 ,0.000092 ,0.049592 ,0.049613 ,0.000093 ,0.000093 ,2024
金字火腿,0,0.475215 ,0.497599 ,0.000116 ,0.000116 ,0.237551 ,0.239976 ,0.000180 ,0.000180 ,0.253105 ,0.256061 ,0.033643 ,0.033649 ,0.000189 ,0.000189 ,2024
旷达科技,5,0.000112 ,0.000112 ,0.000062 ,0.000062 ,0.000079 ,0.000079 ,0.000096 ,0.000096 ,0.000099 ,0.000099 ,0.999452 ,2.141074 ,0.000101 ,0.000101 ,2024
金杯电工,6,0.097635 ,0.097794 ,0.000085 ,0.000085 ,0.383673 ,0.394726 ,0.000132 ,0.000132 ,0.000137 ,0.000137 ,0.000142 ,0.000142 ,0.518195 ,0.548247 ,2024
西子洁能,2,0.160388 ,0.161111 ,0.000028 ,0.000028 ,0.839402 ,1.039871 ,0.000044 ,0.000044 ,0.000045 ,0.000045 ,0.000047 ,0.000047 ,0.000046 ,0.000046 ,2024
飞龙股份,5,0.000136 ,0.000136 ,0.000076 ,0.000076 ,0.000096 ,0.000096 ,0.000117 ,0.000117 ,0.162640 ,0.163395 ,0.836811 ,1.034198 ,0.000123 ,0.000123 ,2024
云图控股,0,0.856122 ,1.077997 ,0.000022 ,0.000022 ,0.000028 ,0.000028 ,0.143721 ,0.144238 ,0.000035 ,0.000035 ,0.000037 ,0.000037 ,0.000036 ,0.000036 ,2024
新联电子,4,0.000095 ,0.000095 ,0.000053 ,0.000053 ,0.000067 ,0.000067 ,0.000081 ,0.000081 ,0.999532 ,2.159421 ,0.000087 ,0.000087 ,0.000086 ,0.000086 ,2024
宝鼎科技,3,0.000061 ,0.000061 ,0.000034 ,0.000034 ,0.000043 ,0.000043 ,0.999696 ,2.208092 ,0.000054 ,0.000054 ,0.000056 ,0.000056 ,0.000055 ,0.000055 ,2024
徐家汇,4,0.000181 ,0.000181 ,0.000100 ,0.000100 ,0.000127 ,0.000127 ,0.000155 ,0.000155 ,0.999107 ,2.082121 ,0.000166 ,0.000166 ,0.000163 ,0.000163 ,2024
森马服饰,5,0.000146 ,0.000146 ,0.000081 ,0.000081 ,0.000103 ,0.000103 ,0.000126 ,0.000126 ,0.000130 ,0.000130 ,0.999281 ,2.108784 ,0.000132 ,0.000132 ,2024
ST八菱,5,0.000060 ,0.000060 ,0.000033 ,0.000033 ,0.000042 ,0.000042 ,0.000051 ,0.000051 ,0.000053 ,0.000053 ,0.999707 ,2.212100 ,0.000054 ,0.000054 ,2024
豪迈科技,0,0.999407 ,2.131821 ,0.000068 ,0.000068 ,0.000087 ,0.000087 ,0.000105 ,0.000105 ,0.000109 ,0.000109 ,0.000113 ,0.000113 ,0.000111 ,0.000111 ,2024
安洁科技,0,0.772290 ,0.908131 ,0.000048 ,0.000048 ,0.000061 ,0.000061 ,0.000075 ,0.000075 ,0.000077 ,0.000077 ,0.227370 ,0.229487 ,0.000079 ,0.000079 ,2024
跨境通,6,0.000125 ,0.000125 ,0.000069 ,0.000069 ,0.000088 ,0.000088 ,0.000107 ,0.000107 ,0.000111 ,0.000111 ,0.000115 ,0.000115 ,0.999384 ,2.127284 ,2024
卫星化学,0,0.647039 ,0.713635 ,0.000045 ,0.000045 ,0.000058 ,0.000058 ,0.269245 ,0.272830 ,0.083464 ,0.083563 ,0.000075 ,0.000075 ,0.000074 ,0.000074 ,2024
雪迪龙,3,0.000027 ,0.000027 ,0.000015 ,0.000015 ,0.000019 ,0.000019 ,0.983873 ,1.634572 ,0.016015 ,0.016016 ,0.000025 ,0.000025 ,0.000025 ,0.000025 ,2024
茂硕电源,6,0.209521 ,0.211165 ,0.000027 ,0.000027 ,0.000035 ,0.000035 ,0.000042 ,0.000042 ,0.388477 ,0.399985 ,0.000046 ,0.000046 ,0.401851 ,0.414700 ,2024
克明食品,0,0.999703 ,2.210529 ,0.000034 ,0.000034 ,0.000043 ,0.000043 ,0.000053 ,0.000053 ,0.000055 ,0.000055 ,0.000057 ,0.000057 ,0.000056 ,0.000056 ,2024
京威股份,5,0.000080 ,0.000080 ,0.000044 ,0.000044 ,0.000056 ,0.000056 ,0.000068 ,0.000068 ,0.000071 ,0.000071 ,0.999609 ,2.180106 ,0.000072 ,0.000072 ,2024
TCL智家,0,0.695202 ,0.783036 ,0.000065 ,0.000065 ,0.000082 ,0.000082 ,0.000100 ,0.000100 ,0.095912 ,0.096064 ,0.000107 ,0.000107 ,0.208532 ,0.210152 ,2024
龙泉股份,6,0.000165 ,0.000165 ,0.000091 ,0.000091 ,0.000116 ,0.000116 ,0.000141 ,0.000141 ,0.000146 ,0.000146 ,0.162317 ,0.163067 ,0.837024 ,1.034661 ,2024
东江环保,4,0.000108 ,0.000108 ,0.000060 ,0.000060 ,0.000076 ,0.000076 ,0.121651 ,0.121962 ,0.877909 ,1.132365 ,0.000099 ,0.000099 ,0.000097 ,0.000097 ,2024
东诚药业,5,0.134835 ,0.135261 ,0.000058 ,0.000058 ,0.398797 ,0.411330 ,0.000090 ,0.000090 ,0.000094 ,0.000094 ,0.466030 ,0.486993 ,0.000095 ,0.000095 ,2024
珠江钢琴,3,0.000316 ,0.000316 ,0.000175 ,0.000175 ,0.000223 ,0.000223 ,0.593854 ,0.642402 ,0.000281 ,0.000281 ,0.404867 ,0.418032 ,0.000285 ,0.000285 ,2024
广东宏大,2,0.000059 ,0.000059 ,0.000032 ,0.000032 ,0.624550 ,0.682910 ,0.000050 ,0.000050 ,0.000052 ,0.000052 ,0.000054 ,0.000054 ,0.375202 ,0.385485 ,2024
美亚光电,4,0.000128 ,0.000128 ,0.000071 ,0.000071 ,0.000090 ,0.000090 ,0.000110 ,0.000110 ,0.999367 ,2.123971 ,0.000118 ,0.000118 ,0.000116 ,0.000116 ,2024
远程股份,2,0.000058 ,0.000058 ,0.000032 ,0.000032 ,0.999700 ,2.209719 ,0.000050 ,0.000050 ,0.000052 ,0.000052 ,0.000054 ,0.000054 ,0.000053 ,0.000053 ,2024
浙江世宝,1,0.000305 ,0.000305 ,0.503219 ,0.530396 ,0.000215 ,0.000215 ,0.000262 ,0.000262 ,0.000271 ,0.000271 ,0.495452 ,0.521227 ,0.000276 ,0.000276 ,2024
良信股份,6,0.000123 ,0.000123 ,0.000068 ,0.000068 ,0.000087 ,0.000087 ,0.000105 ,0.000105 ,0.000109 ,0.000109 ,0.000113 ,0.000113 ,0.999395 ,2.129422 ,2024
牧原股份,0,0.999707 ,2.211988 ,0.000034 ,0.000034 ,0.000043 ,0.000043 ,0.000052 ,0.000052 ,0.000054 ,0.000054 ,0.000056 ,0.000056 ,0.000055 ,0.000055 ,2024
登云股份,5,0.022639 ,0.022641 ,0.000047 ,0.000047 ,0.239747 ,0.242243 ,0.000072 ,0.000072 ,0.000075 ,0.000075 ,0.700811 ,0.791489 ,0.036609 ,0.036617 ,2024
小崧股份,6,0.000064 ,0.000064 ,0.000036 ,0.000036 ,0.000045 ,0.000045 ,0.271083 ,0.274745 ,0.000057 ,0.000057 ,0.000059 ,0.000059 ,0.728655 ,0.834805 ,2024
燕塘乳业,3,0.085821 ,0.085929 ,0.000047 ,0.000047 ,0.000059 ,0.000059 ,0.814319 ,0.987205 ,0.000075 ,0.000075 ,0.000077 ,0.000077 ,0.099602 ,0.099772 ,2024
王子新材,5,0.000119 ,0.000119 ,0.000066 ,0.000066 ,0.000084 ,0.000084 ,0.000102 ,0.000102 ,0.000105 ,0.000105 ,0.999418 ,2.133996 ,0.000107 ,0.000107 ,2024
国光股份,4,0.000086 ,0.000086 ,0.000048 ,0.000048 ,0.000061 ,0.000061 ,0.144050 ,0.144570 ,0.436981 ,0.453902 ,0.418696 ,0.433392 ,0.000078 ,0.000078 ,2024
永兴材料,3,0.222876 ,0.224866 ,0.000035 ,0.000035 ,0.000044 ,0.000044 ,0.776875 ,0.916301 ,0.000056 ,0.000056 ,0.000058 ,0.000058 ,0.000056 ,0.000057 ,2024
凤形股份,2,0.000119 ,0.000119 ,0.000066 ,0.000066 ,0.824211 ,1.007400 ,0.175280 ,0.176230 ,0.000106 ,0.000106 ,0.000110 ,0.000110 ,0.000108 ,0.000108 ,2024
汇洁股份,5,0.000188 ,0.000188 ,0.000104 ,0.000104 ,0.000133 ,0.000133 ,0.000161 ,0.000161 ,0.268837 ,0.272405 ,0.730407 ,0.837612 ,0.000170 ,0.000170 ,2024
蓝黛科技,5,0.005090 ,0.005090 ,0.000043 ,0.000043 ,0.000054 ,0.000054 ,0.000066 ,0.000066 ,0.000068 ,0.000068 ,0.994609 ,1.828265 ,0.000069 ,0.000069 ,2024
索菱股份,6,0.000201 ,0.000201 ,0.000111 ,0.000111 ,0.000142 ,0.000142 ,0.000172 ,0.000172 ,0.102468 ,0.102653 ,0.250161 ,0.253011 ,0.646745 ,0.713227 ,2024
众兴菌业,2,0.076124 ,0.076199 ,0.000056 ,0.000056 ,0.490030 ,0.514860 ,0.000087 ,0.000087 ,0.000090 ,0.000090 ,0.433521 ,0.450002 ,0.000091 ,0.000091 ,2024
快意电梯,6,0.000093 ,0.000093 ,0.000051 ,0.000051 ,0.000065 ,0.000065 ,0.000079 ,0.000079 ,0.000082 ,0.000082 ,0.000085 ,0.000085 ,0.999544 ,2.162466 ,2024
久远银海,4,0.000043 ,0.000043 ,0.485393 ,0.509435 ,0.000030 ,0.000030 ,0.000037 ,0.000037 ,0.514420 ,0.543725 ,0.000039 ,0.000039 ,0.000039 ,0.000039 ,2024
坚朗五金,4,0.280933 ,0.285029 ,0.000050 ,0.000050 ,0.000064 ,0.000064 ,0.000078 ,0.000078 ,0.512769 ,0.541752 ,0.000083 ,0.000083 ,0.206024 ,0.207585 ,2024
微光股份,0,0.999602 ,2.178003 ,0.000046 ,0.000046 ,0.000058 ,0.000058 ,0.000071 ,0.000071 ,0.000073 ,0.000073 ,0.000076 ,0.000076 ,0.000074 ,0.000074 ,2024
江阴银行,1,0.000037 ,0.000037 ,0.999803 ,2.254659 ,0.000026 ,0.000026 ,0.000032 ,0.000032 ,0.000033 ,0.000033 ,0.000034 ,0.000034 ,0.000034 ,0.000034 ,2024
路畅科技,2,0.000119 ,0.000119 ,0.000066 ,0.000066 ,0.329964 ,0.336774 ,0.000102 ,0.000102 ,0.262592 ,0.265906 ,0.164019 ,0.164794 ,0.243137 ,0.245745 ,2024
黄山胶囊,5,0.289093 ,0.293575 ,0.055239 ,0.055268 ,0.258481 ,0.261636 ,0.000206 ,0.000206 ,0.000213 ,0.000213 ,0.396552 ,0.408856 ,0.000216 ,0.000216 ,2024
富森美,2,0.000113 ,0.000113 ,0.000063 ,0.000063 ,0.999419 ,2.134300 ,0.000097 ,0.000097 ,0.000101 ,0.000101 ,0.000104 ,0.000104 ,0.000102 ,0.000102 ,2024
桂发祥,0,0.999540 ,2.161448 ,0.000053 ,0.000053 ,0.000067 ,0.000067 ,0.000082 ,0.000082 ,0.000085 ,0.000085 ,0.000088 ,0.000088 ,0.000086 ,0.000086 ,2024
凯莱英,5,0.000171 ,0.000171 ,0.000095 ,0.000095 ,0.000121 ,0.000121 ,0.000147 ,0.000147 ,0.000152 ,0.000152 ,0.999160 ,2.089634 ,0.000154 ,0.000154 ,2024
道恩股份,3,0.000085 ,0.000085 ,0.000047 ,0.000047 ,0.000060 ,0.000060 ,0.958450 ,1.430516 ,0.000075 ,0.000075 ,0.041207 ,0.041220 ,0.000076 ,0.000076 ,2024
张家港行,1,0.000082 ,0.000082 ,0.999570 ,2.169127 ,0.000058 ,0.000058 ,0.000070 ,0.000070 ,0.000072 ,0.000072 ,0.000075 ,0.000075 ,0.000074 ,0.000074 ,2024
道道全,0,0.999453 ,2.141330 ,0.000063 ,0.000063 ,0.000080 ,0.000080 ,0.000097 ,0.000097 ,0.000101 ,0.000101 ,0.000104 ,0.000104 ,0.000102 ,0.000102 ,2024
钧达股份,2,0.115953 ,0.116222 ,0.000068 ,0.000068 ,0.689749 ,0.774900 ,0.000106 ,0.000106 ,0.000109 ,0.000109 ,0.000113 ,0.000113 ,0.193901 ,0.195196 ,2024
香山股份,0,0.789807 ,0.939902 ,0.000038 ,0.000037 ,0.000048 ,0.000048 ,0.000058 ,0.000058 ,0.000060 ,0.000060 ,0.077875 ,0.077956 ,0.132114 ,0.132514 ,2024
长缆科技,2,0.000221 ,0.000221 ,0.000122 ,0.000122 ,0.404417 ,0.417535 ,0.000189 ,0.000189 ,0.000196 ,0.000196 ,0.276252 ,0.280138 ,0.318602 ,0.324695 ,2024
华阳集团,5,0.000222 ,0.000222 ,0.000123 ,0.000123 ,0.000157 ,0.000157 ,0.000191 ,0.000191 ,0.000198 ,0.000198 ,0.998908 ,2.056706 ,0.000201 ,0.000201 ,2024
集泰股份,5,0.000046 ,0.000046 ,0.000025 ,0.000025 ,0.000032 ,0.000032 ,0.000039 ,0.000039 ,0.000041 ,0.000041 ,0.999776 ,2.241039 ,0.000041 ,0.000041 ,2024
佛燃能源,4,0.387303 ,0.398698 ,0.000025 ,0.000025 ,0.000032 ,0.000032 ,0.121928 ,0.122241 ,0.490630 ,0.515562 ,0.000042 ,0.000042 ,0.000041 ,0.000041 ,2024
中新赛克,4,0.000026 ,0.000026 ,0.000015 ,0.000015 ,0.000019 ,0.000019 ,0.000023 ,0.000023 ,0.999869 ,2.296773 ,0.000024 ,0.000024 ,0.000024 ,0.000024 ,2024
深南电路,4,0.180416 ,0.181454 ,0.000047 ,0.000047 ,0.000060 ,0.000060 ,0.000073 ,0.000073 ,0.642512 ,0.707373 ,0.000079 ,0.000079 ,0.176811 ,0.177786 ,2024
伊戈尔,0,0.711129 ,0.807268 ,0.000053 ,0.000053 ,0.000067 ,0.000067 ,0.000082 ,0.000082 ,0.000085 ,0.000085 ,0.000088 ,0.000088 ,0.288495 ,0.292948 ,2024
新兴装备,5,0.000109 ,0.000109 ,0.000061 ,0.000061 ,0.000077 ,0.000077 ,0.000094 ,0.000094 ,0.323260 ,0.329640 ,0.604331 ,0.656056 ,0.072069 ,0.072133 ,2024
郑州银行,1,0.000039 ,0.000039 ,0.999794 ,2.249810 ,0.000028 ,0.000028 ,0.000034 ,0.000034 ,0.000035 ,0.000035 ,0.000036 ,0.000036 ,0.000035 ,0.000035 ,2024
华林证券,1,0.034125 ,0.034132 ,0.965659 ,1.475085 ,0.000036 ,0.000036 ,0.000043 ,0.000043 ,0.000045 ,0.000045 ,0.000046 ,0.000046 ,0.000046 ,0.000046 ,2024
恒铭达,6,0.000095 ,0.000095 ,0.000053 ,0.000053 ,0.000067 ,0.000067 ,0.000081 ,0.000081 ,0.103376 ,0.103566 ,0.314930 ,0.320803 ,0.581399 ,0.626385 ,2024
青岛银行,1,0.000024 ,0.000024 ,0.999876 ,2.302078 ,0.000017 ,0.000017 ,0.000020 ,0.000020 ,0.000021 ,0.000021 ,0.000022 ,0.000022 ,0.000021 ,0.000021 ,2024
